date,new_home_sales_k,case_shiller_natl,existing_home_sales_k
1974-11-01,450.0,,
1974-12-01,417.0,,
1975-01-01,416.0,,
1975-02-01,422.0,,
1975-03-01,477.0,,
1975-04-01,543.0,,
1975-05-01,579.0,,
1975-06-01,557.0,,
1975-07-01,569.0,,
1975-08-01,566.0,,
1975-09-01,556.0,,
1975-10-01,609.0,,
1975-11-01,680.0,,
1975-12-01,669.0,,
1976-01-01,603.0,,
1976-02-01,644.0,,
1976-03-01,591.0,,
1976-04-01,611.0,,
1976-05-01,570.0,,
1976-06-01,591.0,,
1976-07-01,664.0,,
1976-08-01,648.0,,
1976-09-01,696.0,,
1976-10-01,708.0,,
1976-11-01,735.0,,
1976-12-01,767.0,,
1977-01-01,825.0,,
1977-02-01,839.0,,
1977-03-01,872.0,,
1977-04-01,799.0,,
1977-05-01,807.0,,
1977-06-01,805.0,,
1977-07-01,755.0,,
1977-08-01,808.0,,
1977-09-01,842.0,,
1977-10-01,819.0,,
1977-11-01,829.0,,
1977-12-01,835.0,,
1978-01-01,795.0,,
1978-02-01,791.0,,
1978-03-01,814.0,,
1978-04-01,864.0,,
1978-05-01,857.0,,
1978-06-01,834.0,,
1978-07-01,789.0,,
1978-08-01,756.0,,
1978-09-01,812.0,,
1978-10-01,872.0,,
1978-11-01,798.0,,
1978-12-01,805.0,,
1979-01-01,754.0,,
1979-02-01,723.0,,
1979-03-01,793.0,,
1979-04-01,748.0,,
1979-05-01,727.0,,
1979-06-01,700.0,,
1979-07-01,715.0,,
1979-08-01,729.0,,
1979-09-01,727.0,,
1979-10-01,670.0,,
1979-11-01,597.0,,
1979-12-01,559.0,,
1980-01-01,592.0,,
1980-02-01,541.0,,
1980-03-01,474.0,,
1980-04-01,370.0,,
1980-05-01,469.0,,
1980-06-01,552.0,,
1980-07-01,636.0,,
1980-08-01,659.0,,
1980-09-01,596.0,,
1980-10-01,561.0,,
1980-11-01,562.0,,
1980-12-01,532.0,,
1981-01-01,511.0,,
1981-02-01,510.0,,
1981-03-01,514.0,,
1981-04-01,470.0,,
1981-05-01,467.0,,
1981-06-01,415.0,,
1981-07-01,431.0,,
1981-08-01,378.0,,
1981-09-01,338.0,,
1981-10-01,356.0,,
1981-11-01,382.0,,
1981-12-01,457.0,,
1982-01-01,368.0,,
1982-02-01,365.0,,
1982-03-01,374.0,,
1982-04-01,339.0,,
1982-05-01,384.0,,
1982-06-01,370.0,,
1982-07-01,375.0,,
1982-08-01,407.0,,
1982-09-01,481.0,,
1982-10-01,480.0,,
1982-11-01,554.0,,
1982-12-01,521.0,,
1983-01-01,582.0,,
1983-02-01,562.0,,
1983-03-01,596.0,,
1983-04-01,638.0,,
1983-05-01,664.0,,
1983-06-01,651.0,,
1983-07-01,606.0,,
1983-08-01,572.0,,
1983-09-01,608.0,,
1983-10-01,632.0,,
1983-11-01,644.0,,
1983-12-01,773.0,,
1984-01-01,691.0,,
1984-02-01,696.0,,
1984-03-01,641.0,,
1984-04-01,639.0,,
1984-05-01,615.0,,
1984-06-01,630.0,,
1984-07-01,619.0,,
1984-08-01,567.0,,
1984-09-01,662.0,,
1984-10-01,687.0,,
1984-11-01,597.0,,
1984-12-01,597.0,,
1985-01-01,645.0,,
1985-02-01,682.0,,
1985-03-01,671.0,,
1985-04-01,620.0,,
1985-05-01,678.0,,
1985-06-01,722.0,,
1985-07-01,766.0,,
1985-08-01,726.0,,
1985-09-01,678.0,,
1985-10-01,655.0,,
1985-11-01,733.0,,
1985-12-01,721.0,,
1986-01-01,733.0,,
1986-02-01,728.0,,
1986-03-01,880.0,,
1986-04-01,857.0,,
1986-05-01,789.0,,
1986-06-01,728.0,,
1986-07-01,698.0,,
1986-08-01,621.0,,
1986-09-01,763.0,,
1986-10-01,669.0,,
1986-11-01,707.0,,
1986-12-01,784.0,,
1987-01-01,709.0,63.732,
1987-02-01,732.0,64.131,
1987-03-01,713.0,64.467,
1987-04-01,735.0,64.972,
1987-05-01,651.0,65.547,
1987-06-01,637.0,66.218,
1987-07-01,658.0,66.786,
1987-08-01,657.0,67.27,
1987-09-01,666.0,67.623,
1987-10-01,650.0,67.902,
1987-11-01,625.0,68.091,
1987-12-01,595.0,68.343,
1988-01-01,585.0,68.583,
1988-02-01,663.0,68.917,
1988-03-01,669.0,69.326,
1988-04-01,699.0,69.79,
1988-05-01,684.0,70.409,
1988-06-01,717.0,71.068,
1988-07-01,679.0,71.685,
1988-08-01,688.0,72.185,
1988-09-01,703.0,72.574,
1988-10-01,718.0,72.822,
1988-11-01,628.0,73.064,
1988-12-01,658.0,73.277,
1989-01-01,719.0,73.617,
1989-02-01,622.0,73.968,
1989-03-01,567.0,74.41,
1989-04-01,608.0,74.867,
1989-05-01,656.0,75.294,
1989-06-01,642.0,75.694,
1989-07-01,731.0,76.04,
1989-08-01,697.0,76.27,
1989-09-01,639.0,76.419,
1989-10-01,645.0,76.486,
1989-11-01,684.0,76.519,
1989-12-01,630.0,76.496,
1990-01-01,620.0,76.527,
1990-02-01,591.0,76.587,
1990-03-01,574.0,76.79,
1990-04-01,542.0,77.039,
1990-05-01,534.0,77.297,
1990-06-01,545.0,77.505,
1990-07-01,542.0,77.56,
1990-08-01,528.0,77.478,
1990-09-01,496.0,77.227,
1990-10-01,465.0,76.911,
1990-11-01,493.0,76.379,
1990-12-01,464.0,75.97,
1991-01-01,401.0,75.532,
1991-02-01,482.0,75.248,
1991-03-01,507.0,75.132,
1991-04-01,508.0,75.315,
1991-05-01,517.0,75.764,
1991-06-01,516.0,76.252,
1991-07-01,511.0,76.511,
1991-08-01,526.0,76.588,
1991-09-01,487.0,76.574,
1991-10-01,524.0,76.286,
1991-11-01,575.0,76.027,
1991-12-01,558.0,75.838,
1992-01-01,676.0,75.701,
1992-02-01,639.0,75.657,
1992-03-01,553.0,75.815,
1992-04-01,546.0,76.08,
1992-05-01,554.0,76.397,
1992-06-01,596.0,76.601,
1992-07-01,627.0,76.71,
1992-08-01,636.0,76.731,
1992-09-01,650.0,76.628,
1992-10-01,621.0,76.597,
1992-11-01,614.0,76.579,
1992-12-01,650.0,76.464,
1993-01-01,596.0,76.395,
1993-02-01,604.0,76.327,
1993-03-01,602.0,76.382,
1993-04-01,701.0,76.66,
1993-05-01,626.0,77.029,
1993-06-01,653.0,77.515,
1993-07-01,655.0,77.885,
1993-08-01,645.0,78.131,
1993-09-01,726.0,78.199,
1993-10-01,704.0,78.173,
1993-11-01,769.0,78.171,
1993-12-01,812.0,78.114,
1994-01-01,619.0,78.198,
1994-02-01,686.0,78.203,
1994-03-01,747.0,78.348,
1994-04-01,692.0,78.7,
1994-05-01,691.0,79.207,
1994-06-01,621.0,79.7,
1994-07-01,628.0,80.061,
1994-08-01,656.0,80.315,
1994-09-01,677.0,80.339,
1994-10-01,715.0,80.303,
1994-11-01,646.0,80.169,
1994-12-01,629.0,80.077,
1995-01-01,626.0,80.025,
1995-02-01,559.0,79.991,
1995-03-01,616.0,80.076,
1995-04-01,621.0,80.368,
1995-05-01,674.0,80.69,
1995-06-01,725.0,81.068,
1995-07-01,765.0,81.411,
1995-08-01,701.0,81.654,
1995-09-01,678.0,81.737,
1995-10-01,696.0,81.725,
1995-11-01,664.0,81.629,
1995-12-01,709.0,81.512,
1996-01-01,714.0,81.426,
1996-02-01,769.0,81.399,
1996-03-01,721.0,81.665,
1996-04-01,736.0,82.123,
1996-05-01,746.0,82.6,
1996-06-01,721.0,83.047,
1996-07-01,770.0,83.417,
1996-08-01,826.0,83.644,
1996-09-01,770.0,83.701,
1996-10-01,720.0,83.628,
1996-11-01,771.0,83.555,
1996-12-01,805.0,83.489,
1997-01-01,830.0,83.529,
1997-02-01,801.0,83.594,
1997-03-01,831.0,83.909,
1997-04-01,744.0,84.318,
1997-05-01,760.0,84.862,
1997-06-01,793.0,85.397,
1997-07-01,805.0,85.841,
1997-08-01,815.0,86.151,
1997-09-01,840.0,86.311,
1997-10-01,800.0,86.408,
1997-11-01,864.0,86.632,
1997-12-01,793.0,86.848,
1998-01-01,872.0,87.164,
1998-02-01,866.0,87.374,
1998-03-01,836.0,87.877,
1998-04-01,866.0,88.557,
1998-05-01,887.0,89.373,
1998-06-01,923.0,90.193,
1998-07-01,876.0,90.857,
1998-08-01,846.0,91.405,
1998-09-01,864.0,91.75,
1998-10-01,893.0,91.997,
1998-11-01,995.0,92.195,
1998-12-01,949.0,92.442,
1999-01-01,875.0,92.712,
1999-02-01,848.0,92.979,
1999-03-01,863.0,93.61,
1999-04-01,918.0,94.435,
1999-05-01,888.0,95.36,
1999-06-01,923.0,96.363,
1999-07-01,900.0,97.191,
1999-08-01,893.0,97.896,
1999-09-01,826.0,98.398,
1999-10-01,872.0,98.83,
1999-11-01,863.0,99.147,
1999-12-01,873.0,99.541,
2000-01-01,873.0,100.0,
2000-02-01,856.0,100.571,
2000-03-01,900.0,101.466,
2000-04-01,841.0,102.54,
2000-05-01,857.0,103.701,
2000-06-01,793.0,104.856,
2000-07-01,887.0,105.723,
2000-08-01,848.0,106.523,
2000-09-01,912.0,107.137,
2000-10-01,933.0,107.729,
2000-11-01,880.0,108.292,
2000-12-01,983.0,108.793,
2001-01-01,936.0,109.216,
2001-02-01,963.0,109.643,
2001-03-01,939.0,110.395,
2001-04-01,909.0,111.248,
2001-05-01,885.0,112.203,
2001-06-01,882.0,113.273,
2001-07-01,880.0,114.229,
2001-08-01,866.0,114.99,
2001-09-01,853.0,115.466,
2001-10-01,871.0,115.681,
2001-11-01,924.0,115.838,
2001-12-01,979.0,116.054,
2002-01-01,880.0,116.436,
2002-02-01,948.0,116.917,
2002-03-01,923.0,117.93,
2002-04-01,936.0,119.209,
2002-05-01,978.0,120.789,
2002-06-01,957.0,122.334,
2002-07-01,956.0,123.688,
2002-08-01,1014.0,124.731,
2002-09-01,1044.0,125.495,
2002-10-01,1006.0,126.138,
2002-11-01,1024.0,126.644,
2002-12-01,1048.0,127.152,
2003-01-01,999.0,127.653,
2003-02-01,936.0,128.327,
2003-03-01,999.0,129.308,
2003-04-01,1012.0,130.488,
2003-05-01,1078.0,131.839,
2003-06-01,1193.0,133.225,
2003-07-01,1168.0,134.647,
2003-08-01,1206.0,135.966,
2003-09-01,1131.0,137.077,
2003-10-01,1144.0,137.977,
2003-11-01,1093.0,138.766,
2003-12-01,1129.0,139.629,
2004-01-01,1165.0,140.706,
2004-02-01,1159.0,142.028,
2004-03-01,1276.0,144.08,
2004-04-01,1186.0,146.18,
2004-05-01,1241.0,148.335,
2004-06-01,1180.0,150.519,
2004-07-01,1088.0,152.338,
2004-08-01,1175.0,153.815,
2004-09-01,1214.0,155.108,
2004-10-01,1305.0,156.298,
2004-11-01,1179.0,157.496,
2004-12-01,1242.0,158.67,
2005-01-01,1203.0,160.131,
2005-02-01,1319.0,161.926,
2005-03-01,1328.0,164.578,
2005-04-01,1260.0,167.001,
2005-05-01,1286.0,169.546,
2005-06-01,1274.0,172.017,
2005-07-01,1389.0,174.099,
2005-08-01,1255.0,175.925,
2005-09-01,1244.0,177.613,
2005-10-01,1336.0,178.755,
2005-11-01,1214.0,179.677,
2005-12-01,1239.0,180.11,
2006-01-01,1174.0,180.829,
2006-02-01,1061.0,181.5,
2006-03-01,1116.0,182.749,
2006-04-01,1123.0,183.648,
2006-05-01,1086.0,184.38,
2006-06-01,1074.0,184.547,
2006-07-01,965.0,184.608,
2006-08-01,1035.0,184.405,
2006-09-01,1016.0,184.198,
2006-10-01,941.0,184.054,
2006-11-01,1003.0,183.631,
2006-12-01,998.0,183.228,
2007-01-01,891.0,182.717,
2007-02-01,828.0,182.469,
2007-03-01,833.0,182.191,
2007-04-01,887.0,182.129,
2007-05-01,842.0,181.882,
2007-06-01,793.0,181.539,
2007-07-01,778.0,180.992,
2007-08-01,699.0,180.234,
2007-09-01,686.0,179.121,
2007-10-01,727.0,177.53,
2007-11-01,641.0,175.162,
2007-12-01,619.0,173.337,
2008-01-01,627.0,171.076,
2008-02-01,593.0,169.189,
2008-03-01,535.0,167.9,
2008-04-01,536.0,167.317,
2008-05-01,504.0,167.014,
2008-06-01,487.0,166.533,
2008-07-01,477.0,165.711,
2008-08-01,435.0,164.276,
2008-09-01,433.0,161.911,
2008-10-01,393.0,159.161,
2008-11-01,389.0,156.07,
2008-12-01,377.0,152.544,
2009-01-01,336.0,149.361,
2009-02-01,372.0,147.617,
2009-03-01,339.0,146.513,
2009-04-01,337.0,146.94,
2009-05-01,376.0,148.167,
2009-06-01,393.0,149.794,
2009-07-01,411.0,150.747,
2009-08-01,418.0,150.668,
2009-09-01,386.0,149.628,
2009-10-01,396.0,148.585,
2009-11-01,375.0,147.94,
2009-12-01,352.0,146.667,
2010-01-01,345.0,145.003,
2010-02-01,336.0,143.055,
2010-03-01,381.0,143.595,
2010-04-01,422.0,145.398,
2010-05-01,280.0,147.031,
2010-06-01,305.0,147.698,
2010-07-01,283.0,147.56,
2010-08-01,282.0,146.426,
2010-09-01,317.0,144.607,
2010-10-01,291.0,143.125,
2010-11-01,287.0,141.813,
2010-12-01,326.0,140.622,
2011-01-01,307.0,139.029,
2011-02-01,270.0,137.724,
2011-03-01,300.0,137.779,
2011-04-01,310.0,139.153,
2011-05-01,305.0,140.689,
2011-06-01,301.0,141.942,
2011-07-01,296.0,142.34,
2011-08-01,299.0,141.782,
2011-09-01,304.0,140.161,
2011-10-01,316.0,138.399,
2011-11-01,328.0,136.652,
2011-12-01,341.0,135.155,
2012-01-01,335.0,134.156,
2012-02-01,366.0,133.987,
2012-03-01,354.0,135.855,
2012-04-01,354.0,138.461,
2012-05-01,370.0,141.037,
2012-06-01,360.0,143.158,
2012-07-01,369.0,144.272,
2012-08-01,375.0,144.695,
2012-09-01,385.0,144.348,
2012-10-01,358.0,143.958,
2012-11-01,392.0,143.951,
2012-12-01,399.0,143.858,
2013-01-01,446.0,144.302,4980.0
2013-02-01,447.0,145.152,5060.0
2013-03-01,444.0,147.952,5070.0
2013-04-01,441.0,150.96,5090.0
2013-05-01,428.0,153.85,5140.0
2013-06-01,470.0,156.417,5110.0
2013-07-01,375.0,158.275,5270.0
2013-08-01,381.0,159.382,5260.0
2013-09-01,403.0,159.663,5140.0
2013-10-01,444.0,159.55,5040.0
2013-11-01,446.0,159.361,4920.0
2013-12-01,433.0,159.278,4860.0
2014-01-01,443.0,159.364,4760.0
2014-02-01,420.0,159.865,4780.0
2014-03-01,405.0,161.179,4750.0
2014-04-01,403.0,162.955,4790.0
2014-05-01,451.0,164.667,4900.0
2014-06-01,418.0,166.196,4940.0
2014-07-01,402.0,167.12,4980.0
2014-08-01,456.0,167.436,4970.0
2014-09-01,470.0,167.227,5000.0
2014-10-01,476.0,166.896,5120.0
2014-11-01,442.0,166.645,4990.0
2014-12-01,497.0,166.446,5090.0
2015-01-01,515.0,166.232,4960.0
2015-02-01,540.0,166.61,5090.0
2015-03-01,480.0,168.069,5270.0
2015-04-01,502.0,169.954,5170.0
2015-05-01,502.0,171.836,5250.0
2015-06-01,480.0,173.433,5350.0
2015-07-01,506.0,174.476,5450.0
2015-08-01,518.0,174.915,5330.0
2015-09-01,456.0,175.019,5400.0
2015-10-01,482.0,175.024,5280.0
2015-11-01,504.0,175.113,4830.0
2015-12-01,546.0,175.087,5430.0
2016-01-01,505.0,175.011,5480.0
2016-02-01,517.0,175.26,5200.0
2016-03-01,532.0,176.582,5390.0
2016-04-01,576.0,178.477,5480.0
2016-05-01,571.0,180.325,5470.0
2016-06-01,557.0,181.898,5480.0
2016-07-01,628.0,183.001,5330.0
2016-08-01,575.0,183.639,5340.0
2016-09-01,558.0,183.925,5470.0
2016-10-01,575.0,183.994,5530.0
2016-11-01,571.0,184.203,5600.0
2016-12-01,561.0,184.375,5510.0
2017-01-01,573.0,184.629,5690.0
2017-02-01,587.0,184.997,5470.0
2017-03-01,632.0,186.506,5700.0
2017-04-01,598.0,188.52,5560.0
2017-05-01,635.0,190.516,5620.0
2017-06-01,619.0,192.241,5510.0
2017-07-01,572.0,193.485,5440.0
2017-08-01,556.0,194.318,5350.0
2017-09-01,637.0,194.787,5370.0
2017-10-01,626.0,195.051,5500.0
2017-11-01,711.0,195.415,5720.0
2017-12-01,630.0,195.811,5560.0
2018-01-01,590.0,196.082,5400.0
2018-02-01,618.0,196.874,5610.0
2018-03-01,679.0,198.54,5510.0
2018-04-01,642.0,200.579,5430.0
2018-05-01,662.0,202.415,5400.0
2018-06-01,636.0,204.008,5390.0
2018-07-01,628.0,204.917,5390.0
2018-08-01,593.0,205.295,5350.0
2018-09-01,595.0,205.342,5180.0
2018-10-01,554.0,205.339,5220.0
2018-11-01,625.0,205.077,5210.0
2018-12-01,546.0,204.667,5000.0
2019-01-01,595.0,204.169,4930.0
2019-02-01,648.0,204.394,5380.0
2019-03-01,718.0,205.74,5230.0
2019-04-01,702.0,207.652,5230.0
2019-05-01,618.0,209.314,5330.0
2019-06-01,729.0,210.549,5320.0
2019-07-01,648.0,211.3,5390.0
2019-08-01,712.0,211.659,5430.0
2019-09-01,712.0,211.837,5410.0
2019-10-01,722.0,211.931,5410.0
2019-11-01,713.0,212.07,5320.0
2019-12-01,700.0,212.201,5530.0
2020-01-01,689.0,212.361,5410.0
2020-02-01,707.0,213.18,5700.0
2020-03-01,626.0,215.156,5350.0
2020-04-01,576.0,217.2,4370.0
2020-05-01,707.0,218.448,4010.0
2020-06-01,901.0,219.774,4770.0
2020-07-01,981.0,221.53,5900.0
2020-08-01,1016.0,224.008,5970.0
2020-09-01,979.0,226.757,6440.0
2020-10-01,1031.0,229.764,6730.0
2020-11-01,877.0,232.265,6590.0
2020-12-01,874.0,234.315,6650.0
2021-01-01,899.0,236.391,6650.0
2021-02-01,772.0,239.174,6170.0
2021-03-01,852.0,244.172,6040.0
2021-04-01,817.0,249.781,5960.0
2021-05-01,717.0,255.404,5920.0
2021-06-01,714.0,261.12,5970.0
2021-07-01,745.0,265.446,6030.0
2021-08-01,688.0,268.714,5990.0
2021-09-01,733.0,271.364,6180.0
2021-10-01,689.0,273.571,6190.0
2021-11-01,782.0,275.94,6330.0
2021-12-01,816.0,278.514,6090.0
2022-01-01,809.0,281.892,6340.0
2022-02-01,784.0,287.111,5920.0
2022-03-01,710.0,294.902,5690.0
2022-04-01,612.0,301.516,5570.0
2022-05-01,639.0,306.276,5400.0
2022-06-01,564.0,308.07,5130.0
2022-07-01,535.0,306.905,4880.0
2022-08-01,634.0,303.48,4770.0
2022-09-01,552.0,300.312,4680.0
2022-10-01,586.0,298.526,4440.0
2022-11-01,592.0,296.71,4120.0
2022-12-01,615.0,294.204,4030.0
2023-01-01,653.0,292.698,4070.0
2023-02-01,633.0,293.494,4530.0
2023-03-01,639.0,297.412,4350.0
2023-04-01,656.0,301.519,4220.0
2023-05-01,736.0,305.382,4230.0
2023-06-01,687.0,308.341,4110.0
2023-07-01,727.0,310.265,4050.0
2023-08-01,645.0,311.628,4030.0
2023-09-01,682.0,312.482,3980.0
2023-10-01,689.0,312.829,3850.0
2023-11-01,607.0,312.067,3910.0
2023-12-01,634.0,310.888,3880.0
2024-01-01,683.0,310.759,4000.0
2024-02-01,653.0,312.678,4380.0
2024-03-01,681.0,316.857,4120.0
2024-04-01,706.0,320.787,4080.0
2024-05-01,670.0,323.726,4060.0
2024-06-01,683.0,325.286,3930.0
2024-07-01,732.0,325.6,3980.0
2024-08-01,687.0,325.045,3930.0
2024-09-01,715.0,324.664,3900.0
2024-10-01,632.0,323.982,4030.0
2024-11-01,669.0,323.7,4170.0
2024-12-01,702.0,323.317,4290.0
2025-01-01,665.0,323.671,4090.0
2025-02-01,641.0,325.14,4150.0
2025-03-01,656.0,327.756,4020.0
2025-04-01,701.0,329.913,4020.0
2025-05-01,622.0,331.428,4040.0
2025-06-01,665.0,331.611,3980.0
2025-07-01,648.0,330.947,4030.0
2025-08-01,698.0,329.854,4030.0
2025-09-01,714.0,328.878,4080.0
2025-10-01,652.0,328.239,4110.0
2025-11-01,757.0,327.817,4090.0
2025-12-01,723.0,326.968,4270.0
2026-01-01,576.0,326.481,4020.0
2026-02-01,641.0,327.592,4130.0
2026-03-01,663.0,329.938,4010.0
2026-04-01,622.0,,4020.0
